network_age,Aggregate_Total_Rev,Aggregate_SMS_Rev,Aggregate_Data_Rev,Aggregate_Data_Vol,Aggregate_Calls,Aggregate_ONNET_REV,Aggregate_OFFNET_REV,Aggregate_complaint_count,aug_user_type,sep_user_type,aug_fav_a,sep_fav_a,Class
1914,1592.72,23.26,2.5,11.6113,375,25523,99000,1,2G,2G,telenor,mobilink,Churned
2073,1404.1496,174.45,27.5,2531.7246,389,14584,77299,1,2G,2G,mobilink,ufone,Churned
3139,85.5504,14.34,5,29133.0557,15,477,4194,1,Other,Other,ptcl,telenor,Churned
139,2315.2292,19.25,52.5,267441.2813,636,50316,52400,2,2G,2G,telenor,ufone,Active
139,227.862,2.95,42.5,1461620.516,17,2568,1701,1,,,mobilink,ufone,Active
143,973.9664,21.86,22.5,920871.0674,421,4032,15476,1,3G,3G,mobilink,ufone,Active
174,457.6752,96.93,12.5,191.5703,114,708,22437,1,3G,3G,ufone,mobilink,Churned
431,32.68,15.45,0,6.3379,1,0,336,1,Other,Other,mobilink,mobilink,Churned
443,1166.4,0,28.75,32954801.18,209,2400,1306,9,3G,3G,0,ufone,Active
597,763.92,88.87,31.25,314353.6328,82,7155,21202,1,,,zong,mobilink,Active
619,212.41,80.86,2.5,38.6113,17,3972,2339,1,Other,Other,zong,mobilink,Active
924,58.89,11.95,23.75,1044714.024,105,0,645,1,3G,3G,ptcl,ptcl,Churned
941,69.998,9.56,2.5,28.8105,22,192,3438,1,2G,2G,zong,telenor,Churned
1036,3078.39,0,0,103607.3232,1052,0,33766,2,2G,2G,warid,ufone,Active
1061,423.0128,4.79,2.5,381433.8233,351,9552,10846,2,2G,2G,telenor,ufone,Active
1142,2155.3688,0,155,7929409.408,32,348,7950,1,3G,,ufone,warid,Active
1142,817.08,10.5,25,69186.7422,116,15228,7656,2,3G,3G,warid,ufone,Active
1207,1753.16,33.38,126.25,1064995.611,361,10542,63070,1,3G,3G,0,ufone,Churned
1239,686.298,22.74,176.25,1322.0596,75,6948,13334,1,3G,3G,warid,telenor,Active
1251,514.884,45.88,3.75,6.0098,174,708,38807,1,2G,2G,zong,mobilink,Churned
1265,359.54,1.75,6.25,57359.462,167,4980,8960,8,3G,3G,telenor,ufone,Active
1277,76.3804,16.06,13.75,102332.8555,4,0,431,1,,3G,ptcl,ptcl,Churned
1326,3658.94,31.35,41.25,22332.0303,1059,13920,171215,1,3G,3G,ptcl,mobilink,Active
1355,875.4,0,0,144766.4629,888,0,0,3,2G,2G,warid,ufone,Active
1370,983.35,89.58,21.25,112779.6455,445,11688,48900,3,3G,3G,ufone,ufone,Churned
1382,239.976,53.54,1.25,37671.6074,24,954,6106,1,2G,2G,telenor,ptcl,Churned
1390,44.77,12.82,0,42.6963,50,228,983,2,3G,3G,mobilink,mobilink,Churned
1448,309.888,0,91.25,6646839.175,11,0,2430,1,3G,,mobilink,ptcl,Active
1456,2934.7028,200.37,108.75,40638.8886,892,16572,150693,1,Other,Other,ptcl,mobilink,Active
1458,1449.87,0,20,8781531.688,170,4104,77050,1,2G,2G,zong,zong,Churned
1506,561.7784,14.34,2.5,1.8096,133,3468,41004,1,2G,2G,mobilink,mobilink,Churned
1507,230.606,41.7,13.75,464.0674,55,2208,7200,1,3G,3G,ufone,ufone,Churned
1524,1861.86,21.74,0,1372374.348,716,4080,70511,2,3G,3G,mobilink,ufone,Active
1531,944.5812,85.83,2.5,201623.1035,252,20400,9510,9,3G,3G,ufone,ufone,Churned
1552,1743.552,0,33.75,8259355.149,759,0,1938,1,3G,3G,telenor,ufone,Active
1606,154.6272,49.85,50,2305.1553,10,0,1829,1,2G,2G,mobilink,ptcl,Churned
1705,1160.7688,5.25,0,348.5996,823,0,8494,1,Other,Other,warid,ufone,Active
1710,557.218,30.63,37.5,390167.0987,99,2412,407,1,,,zong,ufone,Churned
1842,867.432,43.07,22.5,66744.501,127,15198,16289,1,,,mobilink,ufone,Churned
1872,1093.6604,58.49,1.25,2203662.061,268,228,1404,1,3G,2G,zong,ufone,Churned
1877,1311.07,45.03,37.5,50528.8896,256,16572,60863,1,,,warid,mobilink,Churned
1910,981.58,21.34,0,1209.3574,343,228,37844,1,Other,Other,telenor,ufone,Churned
2032,485.108,46.52,1.25,4.2793,93,8907,2653,1,2G,2G,ufone,ufone,Active
2032,488.32,28,0,202221.6533,113,18528,19833,2,3G,,zong,ufone,Active
2081,605.33,1.2,18.75,808.9345,130,4584,18635,1,3G,3G,zong,ufone,Active
2096,883.17,0,0,1450858.823,391,0,179,2,3G,3G,zong,ufone,Active
2147,1105.43,0.02,0,265478.4893,332,10044,740,1,3G,3G,mobilink,ufone,Active
2148,437.7,0,0,30611.7959,523,0,0,3,2G,2G,zong,ufone,Active
