"class","aa_000","ab_000","ac_000","ad_000","ae_000","af_000","ag_000","ag_001","ag_002","ag_003","ag_004","ag_005","ag_006","ag_007","ag_008","ag_009","ah_000","ai_000","aj_000","ak_000","al_000","am_0","an_000","ao_000","ap_000","aq_000","ar_000","as_000","at_000","au_000","av_000","ax_000","ay_000","ay_001","ay_002","ay_003","ay_004","ay_005","ay_006","ay_007","ay_008","ay_009","az_000","az_001","az_002","az_003","az_004","az_005","az_006","az_007","az_008","az_009","ba_000","ba_001","ba_002","ba_003","ba_004","ba_005","ba_006","ba_007","ba_008","ba_009","bb_000","bc_000","bd_000","be_000","bf_000","bg_000","bh_000","bi_000","bj_000","bk_000","bl_000","bm_000","bn_000","bo_000","bp_000","bq_000","br_000","bs_000","bt_000","bu_000","bv_000","bx_000","by_000","bz_000","ca_000","cb_000","cc_000","cd_000","ce_000","cf_000","cg_000","ch_000","ci_000","cj_000","ck_000","cl_000","cm_000","cn_000","cn_001","cn_002","cn_003","cn_004","cn_005","cn_006","cn_007","cn_008","cn_009","co_000","cp_000","cq_000","cr_000","cs_000","cs_001","cs_002","cs_003","cs_004","cs_005","cs_006","cs_007","cs_008","cs_009","ct_000","cu_000","cv_000","cx_000","cy_000","cz_000","da_000","db_000","dc_000","dd_000","de_000","df_000","dg_000","dh_000","di_000","dj_000","dk_000","dl_000","dm_000","dn_000","do_000","dp_000","dq_000","dr_000","ds_000","dt_000","du_000","dv_000","dx_000","dy_000","dz_000","ea_000","eb_000","ec_00","ed_000","ee_000","ee_001","ee_002","ee_003","ee_004","ee_005","ee_006","ee_007","ee_008","ee_009","ef_000","eg_000"
"neg",76698,na,2130706438,280,0,0,0,0,0,0,37250,1432864,3664156,1007684,25896,0,2551696,0,0,0,0,0,4933296,3655166,1766008,1132040,0,0,0,0,1012,268,0,0,0,0,0,469014,4239660,703300,755876,0,5374,2108,4114,12348,615248,5526276,2378,4,0,0,2328746,1022304,415432,287230,310246,681504,1118814,3574,0,0,6700214,0,10,108,50,2551696,97518,947550,799478,330760,353400,299160,305200,283680,na,na,na,178540,76698.08,6700214,6700214,6599892,43566,68656,54064,638360,6167850,1209600,246244,2,96,0,5245752,0,916567.68,6,1924,0,0,0,118196,1309472,3247182,1381362,98822,11208,1608,220,240,6700214,na,10476,1226,267998,521832,428776,4015854,895240,26330,118,0,532,734,4122704,51288,0,532572,0,18,5330690,4732,1126,0,0,0,0,0,0,0,0,62282,85908,32790,0,0,202710,37928,14745580,1876644,0,0,0,0,2801180,2445.8,2712,965866,1706908,1240520,493384,721044,469792,339156,157956,73224,0,0,0
"neg",33058,na,0,na,0,0,0,0,0,0,18254,653294,1720800,516724,31642,0,1393352,0,68,0,0,0,2560898,2127150,1084598,338544,0,0,0,0,0,0,0,0,0,0,0,71510,772720,1996924,99560,0,7336,7808,13776,13086,1010074,1873902,14726,6,0,0,1378576,447166,199512,154298,137280,138668,165908,229652,87082,4708,3646660,86,454,364,350,1393352,49028,688314,392208,341420,359780,366560,na,na,na,na,na,6700,33057.51,3646660,3646660,3582034,17733,260120,115626,6900,2942850,1209600,0,na,na,na,2291079.36,0,643536.96,0,0,0,0,38,98644,1179502,1286736,336388,36294,5192,56,na,0,3646660,na,6160,796,164860,350066,272956,1837600,301242,9148,22,0,na,na,na,na,na,na,na,na,na,3312,522,0,0,0,0,0,0,0,0,33736,36946,5936,0,0,103330,16254,4510080,868538,0,0,0,0,3477820,2211.76,2334,664504,824154,421400,178064,293306,245416,133654,81140,97576,1500,0,0
"neg",41040,na,228,100,0,0,0,0,0,0,1648,370592,1883374,292936,12016,0,1234132,0,0,0,0,0,2371990,2173634,300796,153698,0,0,0,0,358,110,0,0,0,0,0,0,870456,239798,1450312,0,1620,1156,1228,34250,1811606,710672,34,0,0,0,790690,672026,332340,254892,189596,135758,103552,81666,46,0,2673338,128,202,576,4,1234132,28804,160176,139730,137160,130640,na,na,na,na,na,na,28000,41040.08,2673338,2673338,2678534,15439,7466,22436,248240,2560566,1209600,63328,0,124,0,2322692.16,0,236099.52,0,0,0,0,0,33276,1215280,1102798,196502,10260,2422,28,0,6,2673338,na,3584,500,56362,149726,100326,1744838,488302,16682,246,0,230,292,2180528,29188,22,20346,0,0,2341048,1494,152,0,0,0,0,0,0,0,0,13876,38182,8138,0,0,65772,10534,300240,48028,0,0,0,0,1040120,1018.64,1020,262032,453378,277378,159812,423992,409564,320746,158022,95128,514,0,0
"neg",12,0,70,66,0,10,0,0,0,318,2212,3232,1872,0,0,0,2668,0,0,0,642,3894,10184,7554,10764,1014,0,0,0,0,60,6,0,0,0,0,0,0,0,2038,5596,0,64,6,6,914,76,2478,2398,1692,0,0,6176,340,304,102,74,406,216,16,0,0,21614,2,12,0,0,2668,184,7632,3090,na,na,na,na,na,na,na,na,10580,12.69,21614,21614,21772,32,50,1994,21400,7710,1209600,302,2,6,0,2135.04,0,4525.44,2,16,0,52,2544,1894,2170,822,152,0,0,0,2,2,21614,0,1032,6,24,656,692,4836,388,0,0,0,138,8,1666,72,0,12,0,0,2578,76,62,0,0,0,0,0,0,0,0,232,0,0,2014,370,48,18,15740,1822,20174,44,0,0,0,1.08,54,5670,1566,240,46,58,44,10,0,0,0,4,32
"neg",60874,na,1368,458,0,0,0,0,0,0,43752,1966618,1800340,131646,4588,0,1974038,0,226,0,0,0,3230626,2618878,1058136,551022,0,0,0,0,1788,642,0,0,0,0,42124,372236,2128914,819596,584074,0,1644,362,562,842,30194,3911734,1606,0,0,0,1348578,1035668,338762,236540,182278,151778,163248,470800,19292,0,4289260,448,556,642,2,1974038,86454,653692,399410,306780,282560,274180,na,na,na,na,na,189000,60874.03,4289260,4289260,4283332,24793,17052,61844,654700,3946944,1209600,135720,0,152,0,3565684.8,0,379111.68,0,746,0,0,356,378910,2497104,993000,64230,10482,2776,86,202,212,4289260,na,3942,520,80950,227322,186242,2288268,1137268,22228,204,0,1716,1664,3440288,215826,0,4262,0,0,3590004,2026,444,0,0,0,0,0,0,0,0,44946,62648,11506,0,0,149474,35154,457040,80482,98334,27588,0,0,21173050,1116.06,1176,404740,904230,622012,229790,405298,347188,286954,311560,433954,1218,0,0
"neg",38312,na,2130706432,218,0,0,0,0,0,0,9128,701702,1462836,449716,39000,660,1087760,0,0,0,0,0,2283060,1892752,469244,347054,0,0,0,0,1142,452,0,0,0,0,0,280112,1160742,774914,447274,0,1580,680,886,1270,42450,2615652,524,0,0,0,1037372,710296,244992,145738,99242,70704,90386,260950,3362,0,2752812,474,2974,502,4,1087760,37720,250044,218150,186500,222800,na,na,na,na,na,na,55280,38312.45,2752812,2752812,2762528,14994,21730,30254,328460,2663042,1209600,74986,2,50,0,2379996.48,0,281297.28,2,404,0,0,366,171324,978164,1182246,302306,23856,4580,200,2,18,2752812,na,3812,530,73228,155666,95538,1874972,443538,15672,86,0,400,1318,2028182,283762,0,3026,0,12,2393142,1628,44,0,0,0,0,0,0,0,0,21304,73432,16092,0,0,52748,12092,10244700,1126020,0,0,0,0,0,1013.14,1100,301078,481542,388574,288278,900430,300412,1534,338,856,0,0,0
"neg",14,0,6,na,0,0,0,0,0,0,1202,3766,1150,0,0,0,2094,0,0,0,0,0,12460,11044,2292,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6118,0,1484,14,24,16,88,4492,0,0,0,0,4332,646,316,54,140,444,122,16,14,34,14764,0,0,0,0,2094,124,1074,1206,na,na,na,na,na,na,na,na,2200,13.71,14764,14764,15690,26,200,1412,14620,6158,1209600,0,na,na,na,1989.12,0,2989.44,0,26,0,0,520,1144,3912,422,114,6,0,0,na,0,14764,0,1228,20,176,654,556,1402,1474,608,0,0,na,na,na,na,na,na,na,na,na,32,50,0,0,0,64,0,0,0,0,122,0,0,0,0,62,24,4200,1184,0,0,0,0,0,374.44,62,4252,1562,168,48,60,28,0,0,0,0,0,0
"neg",102960,na,2130706432,116,0,0,0,0,0,0,2130,142462,4227340,1674278,59718,876,2738458,0,0,0,0,0,5586558,4916376,1193648,568900,0,0,0,0,182,34,0,0,0,0,0,34444,1558518,3996204,517638,0,6634,6406,12848,34152,427644,5618652,468,0,0,0,1699220,1550888,619780,445704,323882,261558,337086,868682,4,0,6781222,16,20,236,12,2738458,78114,872308,319140,214220,186520,171320,214900,258980,na,na,na,137860,102960.88,6781222,6781222,6800488,44417,3180,67254,721460,6106804,1209600,173620,2,116,0,5587531.2,0,515482.56,142,1394,0,0,0,25100,1693440,3593600,756974,29974,7430,286,6,10,6781222,na,7650,950,59058,298814,126308,4436996,1138924,37752,352,0,212,110,5479566,97096,0,18316,1240,12,5623074,2908,362,0,0,0,0,0,0,0,0,47130,167572,51922,0,0,133502,26976,14438160,1487036,0,0,0,0,3537310,2018.08,2168,543294,907360,715518,384948,915978,1052166,1108672,341532,129504,7832,0,0
"neg",78696,na,0,na,0,0,0,0,0,0,458,440704,4398806,2179182,144418,808,3209768,0,80,0,0,0,6289144,5590784,1256914,579650,0,0,0,0,0,0,0,0,0,0,15198,123920,898176,1096132,5030950,0,5574,1170,2110,3372,61402,7090548,174,20,4,2,3982850,1580644,567792,293120,231626,372878,135466,0,0,0,7547346,0,42,50,960,3209768,113418,554154,700112,194720,202340,222840,181400,187820,211420,na,na,43560,78696.21,7547346,7547346,7544078,27982,186404,20680,276200,7164376,1209600,0,na,na,na,5363481.6,0,1793106.24,2,938,0,0,0,24898,1446554,3471774,1999718,206518,13860,1054,na,0,7547346,na,11526,1340,202326,1441484,598470,3676070,1196806,36184,170,0,na,na,na,na,na,na,na,na,na,5032,302,0,0,0,0,0,0,0,0,49590,51228,10824,0,0,270482,49762,15642140,1860094,0,0,0,0,400610,2668.64,2870,1875574,1759758,699290,362510,1190028,1012704,160090,63216,41202,4,0,0
"neg",39196,na,204,170,0,0,0,0,0,0,4352,713882,1532850,161974,604,0,1055746,3320,0,0,0,0,2036770,1667600,507260,306582,0,0,0,0,226,90,0,0,0,0,0,54060,2241184,118418,0,0,1928,396,824,21282,1515424,873780,28,0,0,0,993586,477692,153768,123522,107012,98972,113954,335506,9650,0,2544730,338,476,652,14,1055746,31700,208262,295276,183900,296900,na,na,na,na,na,na,20260,39195.66,2544730,2544730,2534634,16265,1942,7848,119080,2413662,1209600,58226,0,132,0,1984205.76,0,426990.72,0,0,0,0,0,122302,1252638,953064,72436,10678,2540,4,48,60,2544730,na,4458,530,17236,208980,136420,1112952,909048,23942,96,0,404,222,1917066,385178,24,3430,0,0,2023450,2312,240,0,0,0,0,0,0,0,0,18696,27586,6210,0,0,63530,10988,383960,42262,0,0,0,0,9195680,1246.7,1234,452554,330844,198386,99614,215734,189966,219996,208724,463790,34054,0,0
